CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BythoDens,MaxTL,LAKE,SAMPLE DATE,LATITUDE,LONGITUDE
06-168,0.322219295,0.698970004,-0.251811973,0.556302501,6.01,6,1.08278537,2.162639319,0,4.29,Tea Lake,19-Aug-10,453100,784400
06-172,0.158362492,0.73239376,-0.017728767,0.662757832,5.84,5,1.146128036,2.079679589,0,3.67,West Harry Lake,15-Aug-10,453200,784900
06-174,0.719331287,0.447158031,-0.301029996,0.556302501,6.53,9,0.991226076,1.263298796,0,3.67,Wolfkin Lake,31-Aug-10,451400,785700
06-175,0.612783857,0.892094603,0.025305865,0.591064607,6.79,8,1.318063335,2.564555953,0.000681497,4.29,Horseshoe Lake,13-Jul-10,451800,795100
06-176,0.561101384,1.025305865,-0.301029996,0.681241237,7.04,6,0.531478917,1.370899671,0,4.07,Virtue Lake,13-Jul-10,451900,795000
06-177,0.322219295,0.531478917,-0.318758763,0.477121255,6.89,8,1.501059262,1.909048697,0,3.56,Fifteen Mile Lake,27-Jun-10,452100,785800
06-182,0.240549248,0.973127854,-0.251811973,0.77815125,5.87,8,1.318063335,2.29197914,0,3.67,Long (Cardwell) Lake,18-Jul-10,452000,793000
06-184,0.017033339,0.924279286,-0.920818754,0.662757832,4.9,5,1.170261715,1.224150933,0,3.67,Golden City Lake,19-Jul-10,451900,792500
06-185,0.414973348,0.832508913,-0.15490196,0.591064607,6.47,6,1.419955748,2.712570187,0.000401711,4.47,Crane Lake Resample (chem),28-Jul-10,451300,795700
06-186,1.184691431,0.77815125,-0.356547324,0.770852012,6.92,0,0.633468456,0.918798177,0,3.84,Doley Lake,21-Jul-10,451400,795000
06-189,0.437750563,0.819543936,0.127104798,0.857332496,6.39,4,0.954242509,2.082683968,0,3.67,Foote Lake,21-Jul-10,452800,791100
06-198,0.431363764,0.77815125,0.176091259,0.681241237,6.52,5,1.243038049,2.189037824,0,4.29,Waseosa Lake,29-Jul-10,452400,791700
06-199,0.480006943,0.84509804,0.250420002,0.591064607,6.64,4,1.071882007,1.267691403,0,3.56,Ripple Lake,29-Jul-10,452500,791700
06-209,0.387389826,0.982271233,-0.13076828,0.851258349,6.12,10,1.167317335,2.44858009,0,4.47,Gibson Lake,26-Jul-10,445800,794500
06-210,0.664641976,1.365487985,-0.017728767,0.963787827,6.27,7,0.755874856,1.52950157,0,4.07,Haggart Lake,7-Jul-10,450600,794500
06-212,0.421603927,1.255272505,-0.853871964,0.838849091,6.33,2,0.77815125,2.182250651,0,3.84,Roderick Lake,4-Aug-10,450400,794300
06-214,0.301029996,1.041392685,-0.744727495,0.770852012,6.53,5,0.447158031,1.169042991,0,3.67,Toronto Lake,7-Jul-10,450700,794600
06-216,0.330413773,0.505149978,0.033423755,0.69019608,6.2,5,1.439332694,1.957029211,0,4.29,Bear Lake,17-Aug-10,445800,794600
06-217,0.283301229,0.954242509,-0.22184875,0.698970004,6.23,5,0.698970004,1.748997305,0,3.67,Bittern Lake,14-Jul-10,452600,791800
06-223,0.491361694,1.424881637,0.041392685,1.053078443,5.91,7,0.763427994,1.551894463,0,3.67,North Healey Lake,10-Aug-10,450600,791100
06-224,0.326335861,1.041392685,-0.283996656,0.681241237,6.25,2,0.897627091,1.969683653,0,4.47,Spence Lake (1),27-Jul-10,450000,791700
06-228,0.334453751,1.278753601,-0.055517328,1.056904851,5.81,9,0.832508913,2.083801567,0,3.67,Conger Lake,22-Aug-10,451000,795800
06-229,0.372912003,0.924279286,-0.337242168,0.763427994,6.16,5,0.924279286,1.645899089,0,4.07,Galla Lake,25-Jul-10,450400,795200
06-232,0.245512668,1.29666519,0.041392685,0.84509804,5.64,5,1.274157849,2.120438347,0,3.67,McKay Lake,28-Jun-10,450300,791000
06-236,0.414973348,1.139879086,-0.37675071,0.963787827,6.28,5,0.857332496,2.103531592,0,3.67,Healey Lake (1),2-Aug-09,450500,791100
06-245,0.788168371,1.064457989,-1,0.556302501,8.03,5,1.149219113,1.730397435,0,3.84,Silver Lake,28-Jun-10,450700,793400
06-249,0.305351369,0.748188027,-0.119186408,0.707570176,5.93,6,1.477121255,2.523962163,0,4.29,Canoe Lake,19-Aug-10,453300,784300
06-250,0.773786445,0.643452676,-0.026872146,0.72427587,6.44,0,1.096910013,1.824357577,0.008668044,3.84,Silver Lake,9-Aug-10,451400,794800
06-252,0.641474111,0.62324929,-0.397940009,0.505149978,6.26,11,1.790285164,2.720574721,0,4.29,Blackstone Lake,22-Aug-10,451400,795300
06-254,0.584331224,0.62324929,-0.698970004,0.69019608,6.32,6,0.832508913,1.333198217,0,4.07,La Force Lake,22-Aug-10,451000,795800
06-258,0.523746467,0.662757832,-1,0.361727836,7.2,4,1.103803721,2.327017286,0,3.67,Clear Lake,28-Jul-10,451300,800300
06-261,0.225309282,0.73239376,-0.522878745,0.880813592,6.14,6,1.053078443,1.710087777,0,3.84,Rat Lake,29-Aug-10,445200,793100
06-263,0.176091259,0.832508913,-0.494850022,0.812913357,5.71,9,1.149219113,1.277711293,0,3.84,Hart Lake,30-Aug-10,445400,793500
06-264,0,0.982271233,-0.420216403,1.08278537,5.01,4,0.949390007,0.956415909,0,0,L Lake,30-Aug-10,445300,793300
06-266,0.521138084,0.892094603,-0.301029996,0.908485019,6.4,10,0.740362689,1.604398338,0,3.84,Spence Lake (2),31-Aug-10,445300,793100
06-269,0.269512944,1.250420002,-0.045757491,1.064457989,5.76,6,0.491361694,0.942218875,0,0,Lassetter Lake,6-Jul-10,452200,790200
06-273,0.334453751,0.832508913,-0.096910013,0.819543936,5.88,11,1.294466226,2.34815216,0,4.47,Nine Mile Lake,9-Aug-10,445700,793500
06-274,0.471291711,1.204119983,-0.13076828,0.653212514,6.42,9,1.298853076,1.904874792,0,4.29,Pine Lake (2),2-Aug-10,450400,790400
